Index,Number
29,10011110101100011010101011010000000101011111000001000010101000100000100110111000111100110000010000101101010111101101101100011101
30,00010110111100000001000111111011100001111110101000011101001010101010011001111111111010100100010011010111001110110110101010010001
31,10000101111000011101011111110100011011100100011110110111110010110101100001100000001011101010010101011000011010011100111011001010
32,01110011110110010000111000011111110111110111111001111110010001001101001100100000100100001110011010010110010001010111110011010100
33,01000100101101010010101111101000011000110110001110010111010110010011000111001011011101111001111110000111111101111101111111011100
34,00000111100101001111000100100111011110101001111111110001110000110000000001000000000010111100001111110001000111011111010111000111
35,01011000000101111101110000101000101011010001011000110010010000110000011100001000110110101100000000010010100110000000000110010011
36,01111111110100000010111011101010010010001110110110110101001011011011000101111111110100111100001011101110010000110000111000011100
37,11100001010010011111101000000000011110010111011000011000110000101111011000111011111011110001110011101101001001110001101100110100
38,00000110001111101100111111110011011101100011101000101000011001101001111110110111010011010110000011000000110001101110011110011000
39,01000010011000110011100000001010111111011111010110000110011001011111110110100111011000000011110111001010011010100000100101111100
40,11111111100101100110101000110000111011010111111110001011101100011000101010101011001101011010011111001111000110001001000001010101
41,01000010010001001110000011011001011100101100110000010111101101110110111000100111010101001010001100101000100101101110100001110101
42,00100111000001111111001000011001011010010000001110111001011101010101101001101000001001001000010001001111100000111101110100010000
43,10010000111110100110001100011011010101001101001000011010100111110011110010000011111010101010011100100011100100100100101111110000
44,10000010001011010111001100010001001101001010011111110101100100010100001001010000100011011111111001011101100101011000010110001010
45,01100001010100111001000100110111111100101010000001011011001100011000101100101011111001011100001000010001100010111101101110011110
46,10110111101111011111100000001111111010100100111110101100100010100001110001011100100101100101111100001000011111000101000001001001
47,10100100111101101101011111001001100100000110000001000011000001011001101011101111100010010110000001101011001100110101111111111000
48,11001111111000101010001100000010111001111100110001100100000110000110011001011111111111010010000000101110001000000011101000010110
49,00111001010110000111001000000100011001011011010000111010110111011110001000100100000101100101100100111010111001100111001111100000
50,00010111110001100100010011011110001100110101110110110111000110000111000011000011001111110111101100011001011000111011100001010000
51,01110100000100001110001111001101111010010100010111000010010000001101011001111111001010001111111011100100100000011011110011001011
52,11000001000110101011111011000001011100000100110000101111010101011011101101100000110101111110011101101010000100100010101010000011
53,01111001101111100010100100101001110110010011010000110110001010110110111111101000110010111110010111110110010100001101010010101101
54,00011011011100111000101111101010111110010010110001000011110110010010111000001111101110110001111100011111101111110011111100010000
55,10000001010010001110101111110110100100101000111111010111101010110010111001111011111011010000001100001101000101101101000111000010
56,11100001101011010111011000100110101011100010111000001010110001010111000000001111100001111101100010010111100111011000101001000111
57,01010100011100100100011100111000110111111110011001110000011100101001111101001011001111010010001001011010110111010100100100110111
58,11111101110111000100011011011000101010010001110000100100111101110100110010001011101001001100001101110000001001100100110010111010
59,10001101001101001001111111001000110000111011010001110001000000001110001110110111011011000111100100011100010000100110111110001011
60,01111001000111010110111011010000010100101111010110101100101010111100110001110100100001010101110010110101001001001010110010100100
61,01101000010101000000101111001011010111100110011110011011011100001111101100111011101110011110010001010100011101001001001001001100
62,00110110101110101111010000000110001100010010100000010101100111111011100010110100011011110111110001111101011000011011100001100110
63,11111011110101000110010000011000001010111000011110111001000011110110110000001100100100110111100111110000010000101110001101010010
64,01001011010111111110010100011100001100011001110111101101011011011011010100001000011001100110000001100011110110101000000010000101
65,00010000011000000111011000101100011000011100111001000010110100101111001101010111101001100001110101010100000010010010110110010000
66,11100111010011111101111111010001010011010110001001111011100101111001001110110011111100001001100111110011000110111110110101101001
67,00111110000100110010000100010101010101011000001001000001011110110010000110100000011101111100010000101101101000011001111000000010
68,00110110000010000011110111100011010011011001100000010101111000011111001011111111110011010010000101011100011000001000100000101111
69,00001100100100101110100100010011101101011110110000001011101000111111101001101000000100001000011100000100001001000110111101010010
70,01110000101000010001110011010101010100110000111111000010100010011010001011100111000111101100011010100111001101010101111000011110
71,10010011110011000100111000111001010001110100101001010110111000111110000101001100100001000011111011000000010011001110001110000111
72,01110000111101001001101000100000111101101001011001001111000110110001101101110100101000101110010000011111001110010011110001100001
73,01100001000110111110001011111011111110010011000111000010110010000001000100110000100110111010011011111010111001010011100000110000
74,10000111101010010010111100110100000100000101001001010110010101000100110001110011101111011001101100011100010011101110010110000111
75,00100010100111000111010000110111010111000111100001101100000110000111110010001111010111000010010000100001101011000000000101101011
76,00110110001100111100001011110011011000001011100111010111111101111110000010110100101001010010011001100100111110001110010111101000
77,10001010010111110000101000011011101001111010100000001011110101010101000000001111111010100000001111100010011011101001011111110011
78,11010001011100001010111100011111010011100111111111100101110001100110111000001000010100110111100101100000111100000100110100101111
79,11011101010011110101000011010100110110111100101001110110010110010001101000100100100100110000000110110000011000000101000111111001
80,00100000110100111100100011111010110011100111011110001101110000101110001010001011110011111001100110111011010111010111100100100101
81,01100011110111101111101000100010001101110111001111101010000011100111110000101000100010001000011010101001111000010111101111010101
82,00011110001111100011001111001001100000111010111110000110111101001001101011000100100011101101111101111110001100100111011001000110
83,10001001100100010000010011010110001101100010011001001111001100101101000010010000011010001000011100000011110000001100101000110100
84,10000111101111101111110111101100001111100010000110100110111111111000110011100100001001011000000000000101010110011111101101000111
85,01110011001010100010010100110011111101000001000110101111000110100010101010011100111100100001101000110110011011001101001101110000
86,10010100110001011100101000011110101111101000101110111011000011001111110011110111111001111011110000011011001111010111001001101011
87,10100010111101110011101011101001111010101010110001111011000111010011010010010100001010011011110101001011011001011001110010101110
88,11111000110111100001110000100001001010110001000001101001101100110001000101100100010010000100001000111111000011110000010101000101
89,11110010111011111110100011101011100100101110101001000010110010000010110110010000011110011101101111011101100111100100110001001000
90,11010111010110001011000000100001111110101101011110011000010111010110110001010011001011011010000000110110101111000000000101011110
91,10011001010011001010101000111011111010110101011111010001000001100010111101101000110100010101100111111001001101101111101100000100
92,10000110110010101100001011111110010111011000001000111111000010001110111110101100101110111101100100110100000011000111001100000111
93,10000100101000111010110100011101100101111100011001101100100110111011100011101100010000000010000111011111101100101110111010000100
94,11110010111001101000101011111110111010001100101110001011110111110011001111100011110011111001111001000011001000001101000101001010
95,10010000110010010001001011010000001011100010111000000111000110011110110100010100000011101011100100010110110011111100100110010100
96,00010111001110101011111011101000011000111000011000011100100010110100011111000011000000011110000010101110010101000011010111010000
97,00100111010101101100001100111011001110011011010000000011001100101001101110011011110110011000000101111100111011110101010000100110
98,10101000111100001001100000110001001011110011101000111011101111001010010010101100101100100101101110101100010001011111110101010011
99,01100000101100111010100011101101011010011110111000010001011001001101000111110111011010000010000101111010100111110111110001011000
100,00011011101100101010010111000010110001100111101001110110101110101111001110001011100011011010010100010011110110111000011100010011
101,10101110000100001010111100011110010101001001011000001110111011001100110110010011110101000101100001101111010011111010101001100100
102,00100001001111010110011111010100001011100100011110011000000111010111011100010000000011001010011010000100111101111010000000101011
103,01111100111101111011100111101101011010101111000000010010101000110001001110000100011100101000000111001000010101001111101110000000
104,11001001011010111001101011001101111100100100000001110110101111110001111100101100010111000010011001101100101000001010000101001111
105,01011110101110110011101111011110111000011010001110101111100010111100010010100100100110000011101011010010110100010100111100101010
106,10011010111011011011100000101111110100110110110110100100001101111001101110011011000110101010001000000001011111001101101001010011
107,11100110111000110110111011101100000000111001001000010101111000010110110001101111001101100000011101010001100010001001001001001000
108,11000110000111000011011000010110111001100010010000111001001100101000101010110111111001001010011101110001111111010000110100100101
109,00101100011111101001110011010111110110011011110111011001001110000010110011100000010010111111100011111101110111101111111100101011
110,00011010011011011110101100001000101001010110100001000000111101100100101100110100100110111011111110100000111001011011101011101011
111,01011101000010110010110100001110000010100110100001110010111110011111001110111100110010101011110100010111111101011111010100001001
112,01111100111101010001000011111101101010001010011111111001001101011001000011110000001100111101100000110011010100110100000101011001
113,00001100100001100010111100001111001000101010100001101100101100010110001110101111100010101011110100010010000100111001101001000101
114,11011010010101001000000100010100110011101011011000000101011001110111100001001000010000111111100111011111000100001000110000110011
115,01011000010000111100000100010110011010011001001110010010100000010101000001101011001001110000000011111110010111101110111100001001
116,01111110111100001111100000101010000100101000111001111100101010110001001010101011010111110010000011001100010111001011101111001000
117,01110010111101110110110011110101110100111000000110100011010100010110101101010011111011001001101111101000110010100101101010001010
118,00000100110100100000010011100010000110000111100110111110010100011011010000100000111011110100000001001001101101100010000101111011
119,01101000010100011110100100111110101110110000000001111111010100000001000101111011111010001101111110000010100101100101001110000110
120,10111010000000001101101000001110100010110101111110110110001111110010011101111111010110110010011000100110111000100001100111101000
121,11111000111100000101100011011101110011111001111001011001001010111100010011010011011110010110001000100100101100101110010100110100
122,00110100011001000011111100101001000000111100100000001011111001101110111110000111001101111110010100001111001011010010100010010110
123,00001110011000010100111100100000011101110010000111010100001101101001110111111011011011110001111110001111010111111001100001000101
124,11000100000010001111010000011010001011101110111001001001111010101100010000110011100100010001100101111100001011110001101011011111
125,11010101010100101101110000101010010100100001110110011110110011011111111010011011011011111110011100010100100110010010001001001001
126,01101101110001011111100000100000101110000001011001011110110001101101110111001100111101001001111100101010101000110001110110111110
127,11001111110001101100000000001100000100110001011000001101011001110101010101010000100110111000011010101010101000000000100010011001
128,01100011101001011111111100100100110000011110000111100110111110100010110111111000000001110001110000110011001001001110011000001010
129,11110010101001000000111000111100000100100010101001100010111110110000000010001000101101111001111100010111111000010011001100111101
130,10101111101111011110111000011100101100010001101000100000001110011011010101011011000101110001111011000001000011011101110000100010
131,11001101111101000101011111011001010011011101110001111101111110001000000010110000001111110001111111111101010011110100111100000101
132,10100001110100011011011100111100101011011010110111111100010011000010001001001011100010011010011011010011110000011011100001100110
133,00100111010101001101100100111011110100011001110001011000011010001100111101000111011110001000000100000000100110101100000100101011
134,11011010001111110000101111111110110000000010110001000111010100110111110101101111000101001010010010101111111101100111010110110100
135,00110111011101011100100111110010111101001100110111110100111110110000110111010100011011100010000011010110110111001011011011000101
136,01101010001100110110010100100010111011011110001001010011010010100100111101111111111110111010000111010101011001100011100111100110
137,11100101000101101011101100010100111011111010100111000110110010000110101000100011000001011110011011100100100110110111011000010001
138,01110010111110011001001111011010000111001001101000010011111101011001010010001100110100101110001000001000110100011010110000011110
139,00101100101010111101011100000011001110101011000111000101100110111000111010010000011110010000000001110100100111101001111001010001
140,10111000001000101100111000010100010111011110011001100110110110110000101010010011100111000101111110000111000001100011110001111000
141,10111000001111001111100111100111011101011110101000001011010101110110010001100011100011011011110110010001011010100000101100111111
142,11011100100100100110100000111110111111110001001110011011011000010010011001000100100001001110011111011100000110000111110001011011
143,01110110110100110010001011111000000011110011100110001110011001110000001010100011111011101101101000110000001101011010010101100101
144,00011010101010011101100000101011000101000010111111111110010000001111001110001011110110101111111100000101001010011101100010010101
145,00010110101100011111100000010000010010011100001000010000011100111110100100111100010111100110000000000010101100001101000001010100
146,11001001100011011010001111110110011010111100110110010011100010010101101101111100100111100010000110101100111010010100110010111000
147,00100111110010010001011000011110100111100011111111010111001111011001101101110100001111111100000110110100101011000010001110011111
148,01100010001000010110111000111011010110001100010111010110001101010010100111000111111010001001100011011111010001101001001100101100
149,00000000011011101010000111101110100000010110101000110011111100101111110110010000110101001110010100110110111110101000011011101000
150,11111000100001111000101100101001000101000001101111010100010110011111001010100000010010011000010100111001111111111010101111011011
151,01110110100110011011101000001110010100100001011110000000111010000011101110100100100101111111100011100100010100100110110101100001
152,11110011111111001100111011011110011001000001000110100100110001000100110101101000010100001001110000011101100011010101101000100110
153,11101001001011111100100100011011011010111100000001000111000100010011100010111011110000100110000100111110010110100011011111000000
154,00010111011100100001100000011100011000001011010111110000101101011000111011101111101000010010011101111111101000111110101011011001
155,01010100010000101000000111000010100100101001001000101001101100101000001001101111000010010010010010101110101110110100111111001101
156,00010101011111100111011011101011100011001010111001100101010100010011010101001111010001001110000100010110000110100010111101001111
157,01111110111011111110010000010111101011011010000001010010010100000111001101111000000000010001101110111101101101010101111110011111
158,01011101011001000100101111100111100110100000110111101010101100001010010000010000111110110101111110111000100010101010110011100100
159,00110100001101100110010111010000111011010000110110000000010100000010011100100100001100100001110000101111101100100000011011000111
160,01100011011110000010101111000110110110000101110001001001100111111111101100101100000011100110010001000010100101011100101100011010
161,11110100110111100101011000000100111010000001011001011010010010001001011111001000110010010000010111001110110001100001011010110011
162,10110110010011010101111000110110001001110010110111100001100011101011001010101000010001101001111110000011011000000110010010100011
163,10011101100011000011101011011001001100110011010000101111101101111000110111010111000111001001101001001110101000001001000110101101
164,10100010110001010000111011011101100010000001101111101110010100010111010111110111101111111011101100110001100001010011111111000111
165,11000101101001011011101011010101110111001001010001010101100110000100010000011011101111000111111000000101010001101100101001100100
166,10011000100111000111010111010110111010000101101110110111111001011101111100111111010100100010001010000001000101000011001010101100
167,00010101110111101101011000100001101100110111010110100000111000011010101000110111000111010011100110010011001011011011101100000011
168,01101110011101010101000000010110011110111001101000110111110011001111001010011100111110100111100110110110110101110011000100010001
169,11111001001010111010001111010101001110110101110001011001100110010111001100111011111100010010000111010011000011101111001010010001
170,11011110111100101000011011000011110111110100010000101101001100110110100001000111010010010001111011100111010010101001001001011000
171,01010101001000001101111000100000110110111100111111110111001001000011111110111111001100111100001101000101101000000011100111110010
172,00001111001111101110100011011000001011101010011001000101111100001110101010001111000101110111100100100111100011110100110101101110
173,00100110110110000110101000010001100100000010001110001010100101100100110101100100100010110111111010101100001000010001110010101010
174,00011000011010111000011011011011000110001110000000110100000101111010011000110100001101100010010100110001111100011000110110100111
175,10110111110000100111001011001111111010000100111000000101011001001111001001011111111000100001111000100011100110000001000011000001
176,11010011111101011100111000111010010011100000100110001111000101001110000010111111111110000000000101110001010001111010000000110101
177,11111100011100001111000111110000010010000111000110000101000110011111101000101100011000011111111111111111001000010011111100111111
178,10110011010000001000111100001011111111100100000111010010110101010101101101110000110010000010000010001000011001100011001000000110
179,11000001110011000010011011010000010010001100000111011101100010111101100110001111110011110100010101011100001001000001011100000101
180,11110110010001010000101000101010100001110011100111000011110000010101010000111111000001011000011101001000010100010011111010100110
181,01111110010100111000011100100000001001011000001000010111001000101000011001110111010001111100001010110101110011001111111110100011
182,10111101010111010110111000101000110011101011101001101100110111110001000101100011111001110110001000111001111100011101111110110000
183,11010010010101110001000100010011110101101110001001101001010001001001001010101100011100001010001111111110011110000111101010100010
184,10011000001001010001001000000111001010001101101111101111100010110010000110100011101000110100010000110100000110100100101010100111
185,11010000101011101101001000010101110111000111010111001100100000100110110001001000001110011111101100111010100001000101010011010101
186,10010010010011101001110011100001011101000000100000100100011100010010111000001000110111001101101111110101001010000100010001100011
187,01100110010110100111011111001000100110000111110111011110100011101100001111000100111111011000000000101110000011100101101111100011
188,00110011001011001100110100001000111110110010011110110001010110110000100010111100100101001101111110001101010010000101100011010111
189,10111011001101111011101000101011010001100001001110111001011001111001110000110100110110100101111000101011010110000000001011101001
190,11100000011111001001111100001101111110000010000001101101100001100110011101101100000110101001100010010001100100111001011001011000
191,10101001101011011001101000011111101000001000011111111110110010100110011000001111111110001110001101001011100010011001101100001110
192,01101001000001111110100111000100011000111010111111101101001111011000000011001100110101010000011100010000001100011010000011100011
193,00111000110111110101110000111011111000111101111001101101010010101100010010010100100100000100011001111101010100001111000001001000
194,11111101011001101111100000011001111001110101110110000101001100111011111001011100001001011011100001100100000110001111010101000100
195,11000111110000111011100111110111110000101110011000101101000101010000000110011011000101101011110000101100100101011101100000100110
196,10000101001000011000100011011111101110001011000110000011110000111110100000011000110110000110000111010011001110001100011111010100
197,10100011110000101000110000100000001001011111111000101110111100110000001110010100011001100110000110110001011001001111101010110101
198,10101000011011011101010011111110011100011011110001110110010001011111101001111000001111010000001010100000011000111111011010000111
199,01101010100110011000001100011100011100110000010000100000110011111000010000100000000100001110011100010111111001001110110100110110
